Blocker ID,Blocker/module name,Category,File,Function,Strategy affected,Earliest commit,Earliest date,First version,Original purpose,Original severity,Current severity,Current default state,Exact condition,Exact action taken,Exact log/block reason,Independent veto,Duplicates another blocker,Duplicate-of,Strengthened in commit/version,Still active in latest,Old-period presence,Current-period presence,Expected trade-frequency impact,False-block risk,Recommendation,Evidence
B001,ANTI-BIAS opposite/same-direction block,Signal-generation / re-entry restriction,backend/ea_code/XAUUSD_AI_Sniper_EA.mq5,AdaptiveXAUConfirm(...ANTI-BIAS...),All setups,c6c2040,2026-05-18,v5.8.x,Stop repeating the same losing side same-session,HARD,HARD,enabled (no dedicated input flag found; part of core flow),opposite/same-direction confirmation fails AdaptiveXAUConfirm,return without opening,TRADE BLOCKED BECAUSE: <antiBiasReason>,yes,no,,unchanged since introduction,yes,present (v5.8.50 line 4760),present (v6.23.3 line 15366),medium,medium (statistically tuned; not independently re-tested in this audit),KEEP_SOFT,c6c2040; v5.8.50:4760; v6.23.3:15366
B002,B-GRADE QUALITY BLOCK (damage-prone setup names),Setup eligibility gate,backend/ea_code/XAUUSD_AI_Sniper_EA.mq5,IsDamageProneSetupName + AdaptiveXAUConfirm,B-grade setups,c6c2040 (framework); d0a761a (EPF sibling),2026-05-18,v5.8.x,Filter B-grade setups from historically damage-prone setup names,HARD (report-fit-scout soften path),HARD (same soften path retained),enabled via InpTrendPullbackBRequireAntiBias,B-grade + damage-prone setup name + fails stricter fast confirm,return without opening (unless blocked-memory scout rescues at reduced size),B-GRADE QUALITY BLOCK: %s %s failed stricter fast XAU confirmation. %s,yes,no,,unchanged,yes,present (v5.8.50:4773),present (v6.23.3:15382),medium,medium,KEEP_SOFT,v5.8.50:4773; v6.23.3:15382-15429
B003,SMART-GUARD HARD (statistically catastrophic setup),Grade/score threshold / repeated-loss memory,backend/ea_code/XAUUSD_AI_Sniper_EA.mq5,IsSmartGuardDamageSetup + inline stats check,B-grade trend-break setups,da00863,2026-05-14,v5.8.x,Block setups with decayed win rate/expectancy below hard thresholds,HARD,HARD,InpSmartGuardEnable=true (master switch),"decayed WR<=InpSmartGuardHardWinRate(35%) AND expectancy<=InpSmartGuardHardExpectancy(-150) AND enough samples, not strongRetest/inactivityRelaxed",return without opening,SMART-GUARD HARD: %s B-grade blocked | ... reason=statistically catastrophic,yes,no,,unchanged (constants spot-checked unchanged since v5.8.50),yes,present (v5.8.50:4823),present (v6.23.3:15471),medium,LOW (statistically backed; prior audit's counterfactual found this class of blocker reliable),KEEP_HARD,da00863; v5.8.50:4808-4832; v6.23.3:15446-15505
B004,SMART-GUARD SOFT (reduced-lot on marginal stats),Risk & lot-sizing reduction,backend/ea_code/XAUUSD_AI_Sniper_EA.mq5,same block as B003,B-grade trend-break setups,da00863,2026-05-14,v5.8.x,Reduce size instead of hard-blocking when sample is small or moderately negative,SOFT (lot multiplier),SOFT (unchanged),InpSmartGuardSoftLotMulti=0.70,not enough samples OR hardBad OR not strongRetest,lot size *= 0.70,SMART-GUARD SOFT: %s allowed with reduced risk x0.70 | mode=...,no (size reduction only),no,,unchanged,yes,present,present,low,low,KEEP_SOFT,v5.8.50:4849; v6.23.3 same region
B005,SMART-GUARD requires HTF confirm (SG-FAST),Setup eligibility gate,backend/ea_code/XAUUSD_AI_Sniper_EA.mq5,AdaptiveXAUConfirm(...SMART-GUARD...),B-grade damage setups,da00863,2026-05-14,v5.8.x,Require fast-TF adaptive confirmation before allowing a flagged damage setup,HARD,HARD,InpSmartGuardRequireHTF,"AdaptiveXAUConfirm(signal,SMART-GUARD,...) fails",return,SMART-GUARD: %s blocked by adaptive fast confirmation for %s. %s,yes,yes,B001/B002 (same AdaptiveXAUConfirm gate framework reused across many callers),unchanged,yes,present (v5.8.50:4861),present (v6.23.3:15496),medium,medium,MERGE (AdaptiveXAUConfirm called from ~8 different gate names -- consolidation candidate),v5.8.50:4861; v6.23.3:15496
B006,A+ to A demotion without H1 alignment,Grade/score threshold,backend/ea_code/XAUUSD_AI_Sniper_EA.mq5,inline in primary path,A+ counter-trend setups,pre-window (v5.4.0 per code comment),<2026-05-15,pre-v5.8,Prevent over-confident counter-H1-trend A+ bets after $14k/$6k/$5k pyramid losses,SOFT (grade demote),SOFT (unchanged),always-on,grade==A+ AND !htfAligned AND !isTrendFollowingSetup,grade downgraded to A (loses size multiplier + AI-veto exposure),A+ DEMOTED -> A: setup=... counter-trend without H1 alignment,no,no,,unchanged,yes,present (v5.8.50:4899),present (v6.23.3:15678),low,LOW -- prior audit's counterfactual found only 20%% (1/5) would-have-won if bypassed,KEEP_SOFT,v5.8.50:4899-4926; v6.23.3:15650-15682; audits/xau_signal_counterfactual_audit_2026-07-06_to_2026-07-08.md
B007,Combined score below grade-B threshold,Grade/score threshold,backend/ea_code/XAUUSD_AI_Sniper_EA.mq5,inline in primary path,All setups,pre-window,<2026-05-15,pre-v5.8,Core grading funnel -- only trade signals meeting a minimum quality score,HARD,HARD,"always-on (A+=5.5/A=4.0/B=3.0 constants unchanged, re-verified same region exists in current source)",combinedScore < dynGradeB (post-loss-tightened threshold),return without opening,TRADE BLOCKED BECAUSE: <reason> | Regime:... | Setup:... | Score:...,yes,no,,unchanged core constants; threshold itself can tighten post-loss (dynGradeB),yes,present (v5.8.50:4927),present (v6.23.3:15695),high (primary funnel),low (core to strategy),KEEP_HARD,v5.8.50:4927-4952; v6.23.3:15688-15712
B008,XAUEntryTimingGuard BAD-TIMING,Entry timing / timing-engine check,backend/ea_code/XAUUSD_AI_Sniper_EA.mq5,XAUEntryTimingGuard(),All setups (esp. TREND_PULLBACK),1ff7f09,2026-05-19,v5.8.18-era,"Reject late-chase entries, spike-cooldown windows, failed impulses, post-sweep traps, bad-RR setups","originally partially-enforced (only lateChaseEntry sub-case had a real return false, per v6.17.16 forensic finding)",HARD (unconditional since v6.17.16),always-on,blockClass computed from lateChaseEntry||spikeCooldown||failedImpulseBlock||postSweepTrap||timingBadRRForReport,return without opening,TRADE BLOCKED BECAUSE: <timingReason>,yes,yes,"B008b/B008c (XAU_ClassifySetup, XAU_TimingEngineConfirmsEntry -- three functions answer 'is timing OK')","5cb2bb8 (v6.17.16, made HARD_BLOCK unconditional)",yes,present (v5.8.50:4953),present (v6.23.3:15713),high,"HIGH -- v6.17.16's own forensic audit found 3/19 executed trades in one window had this self-label and still executed and lost; unconditional block raises false-block risk on the other 4 sub-conditions, not individually re-validated","MERGE (with B008b/B008c) + INVESTIGATE_MORE on failedImpulseBlock sub-condition (partially addressed by v6.23.3, see B045)",1ff7f09; 5cb2bb8; v5.8.50:10391; v6.23.3:30740
B008b,XAU_ClassifySetup countertrend classifier,Entry timing / BOS-CHoCH-SMC structure conflict,backend/ea_code/XAUUSD_AI_Sniper_EA.mq5,XAU_ClassifySetup(),Countertrend setups,1436aab,2026-07-08,v6.17.23,Replace fixed one-bar wait with adaptive countertrend evidence classification,HARD (used inside ContextGateAllows),HARD,always-on,used inside ContextGateAllows() Gate,contributes to ContextGateAllows() hard return,(inside ContextGateAllows -- no standalone log string),yes (via ContextGateAllows),yes,B008/B008c,35169dee (v6.17.24 fixed a direction-inversion bug in this classifier one day later),yes,absent,present,medium,medium (v6.17.24 same-week bugfix shows a real correctness bug at introduction),MERGE (with B008/B008c),1436aab; 35169dee; v6.23.3 ContextGateAllows call at 16536
B008c,XAU_TimingEngineConfirmsEntry wall-clock reconfirmation,Entry timing / Entry Timing Guard,backend/ea_code/XAUUSD_AI_Sniper_EA.mq5,XAU_TimingEngineConfirmsEntry(),All setups,0f823ab,2026-07-08,v6.17.22,One-bar / 2-3 minute wall-clock reconfirmation before entry,HARD,HARD,always-on,called twice in current primary path (adaptive-reversal branch + main branch),return false,TIMING_ENGINE CANCELLED BY ADAPTIVE TRANSITION AUTHORITY: ...,yes,yes,B008/B008b,c34d020 (v6.23.1 added an Adaptive Transition Authority cancellation path on top),yes,absent,present (called TWICE: lines 14821 and 16826),medium-high (called twice = double exposure),medium,MERGE (with B008/B008b) -- single highest-priority consolidation candidate in this audit,"0f823ab; v6.23.3:14821,16826,28314"
B009,Hedge-mode consistency check,Broker-execution / execution-state gate,backend/ea_code/XAUUSD_AI_Sniper_EA.mq5,inline,All setups,pre-window,<2026-05-15,pre-v5.8,Prevent entries inconsistent with account hedge-mode setting,HARD,HARD,always-on,hedge-mode mismatch,return,TRADE BLOCKED BECAUSE: <hedgeMsg>,yes,no,,unchanged,yes,present (v5.8.50:4970),present (v6.23.3:15735/15747),low,low (genuine execution-safety),KEEP_HARD,v5.8.50 ~4970; v6.23.3:15735-15748
B010,SPREAD block,Spread/slippage/broker-execution gate,backend/ea_code/XAUUSD_AI_Sniper_EA.mq5,inline (spreadBlocksEntry),All setups,pre-window,<2026-05-15,pre-v5.8,Refuse entry when spread is abnormally wide,HARD,HARD,always-on,spreadBlocksEntry true,return,TRADE BLOCKED BECAUSE: <spreadBlockReason>,yes,no,,loosened once (v6.17.14 'spread loosening'),yes,present (v5.8.50:5019),present (v6.23.3:15835),medium,low-medium,KEEP_HARD,v5.8.50:5019; v6.23.3:15835; cacc1c4 (v6.17.14 loosening)
